Year,Min age,Max age,Sex,Chip Time (min)
16,18,24,M,229
16,35,39,F,229
16,25,29,M,229
16,35,39,F,229
16,45,49,F,229
16,35,39,M,229
16,35,39,M,229
16,25,29,M,229
16,35,39,M,230
16,30,34,F,230
16,30,34,M,230
16,30,34,F,230
16,40,44,F,230
16,40,44,M,230
16,35,39,F,230
16,25,29,F,230
16,40,44,F,230
16,35,39,M,230
16,50,54,M,230
16,18,24,M,230
16,25,29,F,230
16,40,44,M,230
16,55,59,M,230
16,35,39,M,230
16,45,49,M,230
16,45,49,M,230
16,45,49,F,230
16,30,34,M,230
16,35,39,M,230
16,25,29,F,230
16,40,44,M,230
16,50,54,M,230
16,40,44,M,230
16,40,44,F,230
16,45,49,M,230
16,25,29,F,230
16,30,34,M,230
16,35,39,F,230
16,25,29,F,230
16,45,49,F,230
16,25,29,M,230
16,40,44,M,230
16,50,54,F,231
16,25,29,M,231
16,40,44,F,231
16,35,39,F,231
16,40,44,M,231
16,18,24,M,231
16,25,29,M,231
16,40,44,F,231
16,35,39,M,231
16,35,39,M,231
16,35,39,M,231
16,60,64,M,231
16,35,39,F,231
16,40,44,M,231
16,45,49,M,231
16,25,29,M,231
16,35,39,F,231
16,50,54,M,231
16,30,34,F,231
16,45,49,M,231
16,40,44,M,231
16,50,54,M,231
16,45,49,M,231
16,35,39,M,231
16,18,24,F,231
16,18,24,M,231
16,40,44,M,231
16,45,49,M,232
16,45,49,M,232
16,25,29,M,232
16,40,44,M,232
16,18,24,F,232
16,18,24,M,232
16,50,54,F,232
16,35,39,M,232
16,25,29,F,232
16,45,49,M,232
16,40,44,F,232
16,55,59,M,232
16,25,29,F,232
16,40,44,M,232
16,30,34,M,232
16,35,39,M,232
16,40,44,M,232
16,35,39,F,232
16,50,54,F,232
16,45,49,M,232
16,18,24,M,232
16,18,24,F,232
16,30,34,M,232
16,40,44,F,232
16,55,59,M,232
16,30,34,M,232
16,35,39,M,232
16,40,44,M,232
16,25,29,F,232
16,40,44,M,232
16,18,24,F,232
16,35,39,F,232
16,55,59,M,232
16,45,49,M,232
16,40,44,M,232
16,40,44,F,232
16,45,49,M,232
16,25,29,F,232
16,55,59,F,232
16,25,29,F,232
16,40,44,M,232
16,35,39,M,232
16,55,59,M,232
16,30,34,M,232
16,45,49,M,232
16,45,49,M,233
16,40,44,F,233
16,30,34,M,233
16,30,34,M,233
16,30,34,F,233
16,18,24,M,233
16,45,49,F,233
16,60,64,M,233
16,40,44,M,233
16,50,54,M,233
16,35,39,M,233
16,40,44,F,233
16,25,29,M,233
16,35,39,M,233
16,30,34,F,233
16,50,54,F,233
16,40,44,M,233
16,50,54,M,233
16,35,39,F,233
16,30,34,M,233
16,55,59,M,233
16,50,54,M,233
16,45,49,M,233
16,25,29,M,233
16,45,49,M,233
16,30,34,F,233
16,40,44,M,233
16,45,49,M,233
16,25,29,M,233
16,45,49,F,233
16,45,49,M,233
16,25,29,F,233
16,30,34,M,233
16,60,64,M,233
16,45,49,M,234
16,30,34,F,234
16,35,39,M,234
16,30,34,M,234
16,18,24,F,234
16,30,34,M,234
16,40,44,M,234
16,40,44,F,234
16,50,54,F,234
16,45,49,M,234
16,25,29,F,234
16,25,29,F,234
16,40,44,F,234
16,50,54,F,234
16,35,39,M,234
16,65,69,M,234
16,35,39,M,234
16,45,49,M,234
16,50,54,M,234
16,40,44,M,234
16,45,49,M,234
16,35,39,M,234
16,25,29,F,234
16,35,39,F,234
16,40,44,M,234
16,40,44,M,234
16,40,44,M,234
16,30,34,M,234
16,55,59,M,234
16,40,44,F,234
16,25,29,M,234
16,30,34,M,235
16,45,49,M,235
16,18,24,M,235
16,35,39,F,235
16,30,34,M,235
16,18,24,F,235
16,35,39,F,235
16,25,29,M,235
16,55,59,M,235
16,25,29,M,235
16,55,59,M,235
16,45,49,F,235
16,35,39,F,235
16,45,49,M,235
16,55,59,M,235
16,40,44,M,235
16,40,44,M,235
16,30,34,M,235
16,30,34,M,235
16,40,44,M,235
16,40,44,M,235
16,50,54,M,235
16,25,29,F,235
16,40,44,F,235
16,45,49,M,235
16,55,59,M,235
16,30,34,M,235
16,50,54,M,235
16,40,44,F,235
16,30,34,M,235
16,50,54,M,235
16,35,39,M,235
16,35,39,F,235
16,18,24,M,235
16,45,49,F,235
16,45,49,M,235
16,45,49,M,236
16,30,34,M,236
16,25,29,M,236
16,55,59,M,236
16,30,34,M,236
16,25,29,F,236
16,25,29,F,236
16,35,39,M,236
16,45,49,F,236
16,18,24,F,236
16,55,59,F,236
16,35,39,M,236
16,75,70,M,236
16,35,39,M,236
16,30,34,F,236
16,40,44,F,236
16,25,29,M,236
